"Step","workerpool1-5-DR6-LR0-R6 - Training/epoch_p_nohist"
"203","{""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""_type"":""histogram"",""bins"":[-0.48148149251937866,-0.45023149251937866,-0.41898149251937866,-0.38773149251937866,-0.35648149251937866,-0.32523149251937866,-0.29398149251937866,-0.26273149251937866,-0.23148149251937866,-0.20023149251937866,-0.16898149251937866,-0.13773149251937866,-0.10648149251937866,-0.07523149251937866,-0.04398149251937866,-0.012731492519378662,0.018518507480621338,0.04976850748062134,0.08101850748062134,0.11226850748062134,0.14351850748062134,0.17476850748062134,0.20601850748062134,0.23726850748062134,0.26851850748062134,0.29976850748062134,0.33101850748062134,0.36226850748062134,0.39351850748062134,0.42476850748062134,0.45601850748062134,0.48726850748062134,0.5185185074806213]}"
"237","{""_type"":""histogram"",""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13],""bins"":[0.01779842935502529,0.01789190247654915,0.017985375598073006,0.018078848719596863,0.01817232184112072,0.018265794962644577,0.018359268084168434,0.01845274120569229,0.01854621432721615,0.018639687448740005,0.018733160570263863,0.01882663369178772,0.018920106813311577,0.019013579934835434,0.01910705305635929,0.019200526177883148,0.019293999299407005,0.019387472420930862,0.01948094554245472,0.019574418663978577,0.019667891785502434,0.01976136490702629,0.019854838028550148,0.019948311150074005,0.020041784271597862,0.02013525739312172,0.020228730514645576,0.020322203636169434,0.02041567675769329,0.020509149879217148,0.020602623000741005,0.020696096122264862,0.02078956924378872]}"
"271","{""_type"":""histogram"",""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1],""bins"":[0.017711088061332703,0.017834694415796548,0.017958300770260394,0.01808190712472424,0.018205513479188085,0.01832911983365193,0.018452726188115776,0.01857633254257962,0.018699938897043467,0.018823545251507312,0.018947151605971158,0.019070757960435003,0.01919436431489885,0.019317970669362694,0.01944157702382654,0.019565183378290385,0.01968878973275423,0.019812396087218076,0.01993600244168192,0.020059608796145767,0.020183215150609612,0.020306821505073458,0.020430427859537303,0.02055403421400115,0.020677640568464994,0.02080124692292884,0.020924853277392685,0.02104845963185653,0.021172065986320376,0.021295672340784222,0.021419278695248067,0.021542885049711913,0.02166649140417576]}"
"305","{""_type"":""histogram"",""bins"":[0.018125874921679497,0.01820869743824005,0.018291521817445755,0.01837434433400631,0.018457168713212013,0.018539991229772568,0.018622813746333122,0.018705638125538826,0.01878846064209938,0.018871285021305084,0.01895410753786564,0.019036930054426193,0.019119754433631897,0.01920257695019245,0.019285401329398155,0.01936822384595871,0.019451048225164413,0.019533870741724968,0.019616693258285522,0.019699517637491226,0.01978234015405178,0.019865164533257484,0.01994798704981804,0.020030809566378593,0.020113633945584297,0.02019645646214485,0.020279280841350555,0.02036210335791111,0.020444925874471664,0.020527750253677368,0.020610572770237923,0.020693397149443626,0.02077621966600418],""values"":[46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8]}"
"339","{""bins"":[0.017741329967975616,0.017828764393925667,0.017916196957230568,0.01800363138318062,0.01809106394648552,0.01817849837243557,0.01826593279838562,0.01835336536169052,0.01844079978764057,0.018528232350945473,0.018615666776895523,0.018703101202845573,0.018790533766150475,0.018877968192100525,0.018965400755405426,0.019052835181355476,0.019140269607305527,0.019227702170610428,0.019315136596560478,0.01940256915986538,0.01949000358581543,0.01957743614912033,0.01966487057507038,0.01975230500102043,0.019839737564325333,0.019927171990275383,0.020014604553580284,0.020102038979530334,0.020189473405480385,0.020276905968785286,0.020364340394735336,0.020451772958040237,0.020539207383990288],""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15],""_type"":""histogram""}"
"373","{""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.01788450963795185,0.018006089085247368,0.018127668532542884,0.0182492479798384,0.018370827427133918,0.018492406874429435,0.01861398632172495,0.018735565769020468,0.018857145216315985,0.0189787246636115,0.019100304110907018,0.019221883558202535,0.01934346300549805,0.01946504245279357,0.019586621900089085,0.019708201347384602,0.01982978079468012,0.019951360241975635,0.020072939689271152,0.02019451913656667,0.020316098583862185,0.020437678031157702,0.02055925747845322,0.020680836925748736,0.020802416373044252,0.02092399582033977,0.021045575267635286,0.021167154714930803,0.02128873416222632,0.021410313609521836,0.021531893056817353,0.02165347250411287,0.021775051951408386]}"
"407","{""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,1],""_type"":""histogram"",""bins"":[0.01776588149368763,0.01790313277160749,0.018040384049527347,0.018177635327447206,0.018314886605367064,0.018452137883286923,0.018589389161206782,0.01872664043912664,0.0188638917170465,0.019001142994966358,0.019138394272886217,0.019275645550806075,0.019412896828725934,0.019550148106645793,0.01968739938456565,0.01982465066248551,0.01996190194040537,0.020099153218325227,0.020236404496245086,0.020373655774164945,0.020510907052084804,0.020648158330004662,0.02078540960792452,0.02092266088584438,0.02105991216376424,0.021197163441684097,0.021334414719603956,0.021471665997523814,0.021608917275443673,0.021746168553363532,0.02188341983128339,0.02202067110920325,0.022157922387123108]}"
"441","{""values"":[37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017627466470003128,0.017746474128216505,0.017865481786429882,0.01798448944464326,0.018103497102856636,0.018222504761070013,0.01834151241928339,0.018460520077496767,0.018579527735710144,0.01869853539392352,0.018817543052136898,0.018936550710350275,0.019055558368563652,0.01917456602677703,0.019293573684990406,0.019412581343203783,0.01953158900141716,0.019650596659630537,0.019769604317843914,0.01988861197605729,0.020007619634270668,0.020126627292484045,0.020245634950697422,0.0203646426089108,0.020483650267124176,0.020602657925337553,0.02072166558355093,0.020840673241764307,0.020959680899977684,0.02107868855819106,0.021197696216404438,0.021316703874617815,0.021435711532831192]}"
"475","{""_type"":""histogram"",""values"":[34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3],""bins"":[0.017515774816274643,0.017630896996706724,0.017746019177138805,0.017861141357570887,0.017976263538002968,0.01809138571843505,0.01820650789886713,0.01832163007929921,0.018436752259731293,0.018551874440163374,0.018666996620595455,0.018782118801027536,0.018897240981459618,0.0190123631618917,0.01912748534232378,0.01924260752275586,0.019357729703187943,0.019472851883620024,0.019587974064052105,0.019703096244484186,0.019818218424916267,0.01993334060534835,0.02004846278578043,0.02016358496621251,0.020278707146644592,0.020393829327076674,0.020508951507508755,0.020624073687940836,0.020739195868372917,0.020854318048805,0.02096944022923708,0.02108456240966916,0.021199684590101242]}"
"509","{""values"":[41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017845161259174347,0.017959894728846848,0.01807462819851935,0.01818936166819185,0.01830409513786435,0.018418828607536852,0.018533562077209353,0.018648295546881855,0.018763029016554356,0.018877762486226857,0.018992495955899358,0.01910722942557186,0.01922196289524436,0.01933669636491686,0.019451429834589362,0.019566163304261863,0.019680896773934364,0.019795630243606865,0.019910363713279366,0.020025097182951868,0.02013983065262437,0.02025456412229687,0.02036929759196937,0.020484031061641872,0.020598764531314373,0.020713498000986874,0.020828231470659375,0.020942964940331876,0.021057698410004377,0.02117243187967688,0.02128716534934938,0.02140189881902188,0.02151663228869438]}"
"543","{""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.0178994070738554,0.01801877241814509,0.01813813776243478,0.01825750310672447,0.01837686845101416,0.01849623379530385,0.01861559913959354,0.018734964483883232,0.018854329828172922,0.018973695172462612,0.019093060516752303,0.019212425861041993,0.019331791205331683,0.019451156549621373,0.019570521893911064,0.019689887238200754,0.019809252582490444,0.019928617926780134,0.020047983271069825,0.020167348615359515,0.020286713959649205,0.020406079303938895,0.020525444648228586,0.020644809992518276,0.020764175336807966,0.020883540681097656,0.021002906025387347,0.021122271369677037,0.021241636713966727,0.021361002058256418,0.021480367402546108,0.021599732746835798,0.02171909809112549]}"
